"dates","PT","NL","IT","IE","GR","GB","FR","ES","DE","BE"
2007-03-19,0.186594842829212,0.0361598033837733,-0.0164765979160456,-0.386679556200036,-0.0766190109878395,-0.284905490414254,0.250872310430894,-0.495620353580965,-0.0100110857938451,0.0606442713535714
2007-03-20,0.185401906180025,0.0453720427441141,0.0152503390946428,-0.416799087271404,-0.106318081119127,-0.256892198745429,0.252974919652097,-0.533113989983183,-0.00516109543843879,0.0875566488456236
2007-03-21,0.200060457320718,0.0267862790217869,0.0155314945598738,-0.429212448713298,-0.0983644812399064,-0.256440152793211,0.298258420260989,-0.883883476483185,0.0634652812672789,0.107902913178197
2007-03-22,0.19293873065432,0.012197298938881,0.0348130903242453,-0.395027750659415,-0.0754640490593102,-0.24992968316181,0.306111802350728,-0.883883476483185,0.077943436396184,0.118432586144426
2007-03-23,0.174419119851339,0.0758187716387063,0.032014530899498,-0.395296703713051,-0.074075881809457,-0.204410454583088,0.308751798355816,-0.87831006565368,-0.0383535963352241,0.0702354230951517
2007-03-26,0.201506580512763,0.0920710571443665,0.0236584252152362,-0.367556551512222,-0.075738815175309,-0.199997031675083,0.335558126575212,-0.875,-0.451338295354817,0.063363959195164
2007-03-27,0.169006138447123,0.106746248142889,0.0399276225735841,-0.391608901533706,-0.072279935160295,-0.0106569188235593,0.379502814781461,-0.875,-0.457479023150402,0.157045481959421
2007-03-28,0.294508098402318,0.102779788741618,0.0325991594086138,-0.368451928328871,-0.0745475839160171,0.246814197758015,0.394373933210687,-0.875,-0.463267243844868,0.117611144504398
2007-03-29,0.324318126088534,0.0873639757318601,-0.0121420633527624,-0.342749011594496,-0.0117755334397305,0.337459129490594,0.364035904267175,-0.87831006565368,-0.407791215932832,0.136779998021747
2007-03-30,0.304007432981532,0.0725386428322305,-0.0523502872511472,-0.334562310594096,0.060212717611792,0.422082407792632,0.419152507618737,-0.883883476483184,-0.357678485320196,0.206907724439207
2007-04-02,0.333037725077499,0.0681567637150076,-0.0669508769908625,-0.353845310527467,0.110061361173956,0.413928533606943,0.412067219280006,-0.857492925712544,-0.300010684309811,0.227468627180434
2007-04-03,0.352946753085895,-0.0836163207447945,-0.0741838981420934,-0.377952251087821,0.113416349010905,0.346588677725465,0.436957976281487,-0.857492925712544,-0.140344411121839,0.266320865764807
2007-04-04,0.374882604957679,-0.100543519644975,-0.079991939937267,-0.407544496556886,0.113933178796912,0.33765786836403,0.444366163341472,-0.857492925712544,-0.0491343893499598,0.26284041136702
2007-04-05,0.35162553713068,-0.0799967842590918,-0.0678732561701365,-0.415639948343966,0.117938377273451,0.224931152968657,0.405463730831095,-0.790569415042095,-0.0409007418917234,0.291778823062479
2007-04-10,0.365167157140116,-0.0289589222073032,-0.109526526014643,-0.434924309383023,0.166019628839436,0.186733072455557,0.409102563866362,-0.790569415042095,-0.0146103545436786,0.270507448339868
2007-04-11,0.391876143456672,-0.0389145713723038,-0.113249369180906,-0.433179053363925,0.172074746807553,0.0957094028038323,0.340529904146761,-0.790569415042095,-0.0304938168661405,0.171732138605717
2007-04-12,0.345595048275853,-0.0489222988298405,-0.0902904131951019,-0.453986669522241,0.173110863803527,0.11272670259685,0.291692957047345,-0.759256602365297,-0.0201420303601103,0.166250699925896
2007-04-13,0.32329653252881,-0.029027606770737,-0.146475422219168,-0.41510648248086,0.188548929827643,0.132335334485004,0.215269466361803,-0.75,-0.019139146934196,0.190856626291223
2007-04-16,0.426013538642487,-0.0114074648884063,-0.0483460015352192,-0.405008173440191,0.0833333333333331,0.12623097041803,0.211038449993033,-0.75,0.0281292176797296,0.190856626291223
2007-04-17,0.421582309345871,-0.0142382358012789,-0.026002233788039,-0.404967838731321,0.191600416309837,0.0997464940088845,0.268611335204542,-0.75,0.177805009919913,0.109130551044387
2007-04-18,0.418221513468681,-0.00940820783860863,-0.0500418648356931,-0.4825,-0.0644183902103272,0.142924032217431,0.250054590809647,-0.714285714285714,0.181030104276651,0.0829925002758732
2007-04-19,0.432783984841903,-0.00225483413472917,-0.0687153194744695,-0.519208023360206,-0.061442394038928,0.123390472445055,0.246047611649263,-0.75,0.168745095339385,0.0899637822288816
